Group,Similar Phrases
В связи с увеличением количества клиентов приглашаем в нашу команду Аккаунт-менеджера в отдел поддержки сайтов.,В связи с увеличением количества клиентов приглашаем в нашу команду Аккаунт-менеджера в отдел поддержки сайтов.
ПОЧЕМУ МЫ?,"ПОЧЕМУ МЫ?, Почему мы:"
"Мы — компания EORA, специализируемся на внедрении ИИ в бизнес с фокусом на обработку естественного языка.","Мы — компания EORA, специализируемся на внедрении ИИ в бизнес с фокусом на обработку естественного языка."
Что будете делать:,Что будете делать:
Вы гарантировано получите:,Вы гарантировано получите:
- HR Process Management:,- HR Process Management:
Вот какие качества мы ценим в успешных кандидатах:,Вот какие качества мы ценим в успешных кандидатах:
"Среди Клиентов Одиссей Медиа Технологии крупные игроки рекламного рынка и Агентства, в т.ч. Media Instinct Group, Media Trade","Среди Клиентов Одиссей Медиа Технологии крупные игроки рекламного рынка и Агентства, в т.ч. Media Instinct Group, Media Trade"
Функциональные задачи:,Функциональные задачи:
"Привет! Мы ищем в команду Младшего Digital специалиста, который будет расти вместе с нами!","Привет! Мы ищем в команду Младшего Digital специалиста, который будет расти вместе с нами!"
"Мы точно сработаемся, если вы:","Мы точно сработаемся, если вы:, Мы точно сработаемся если:"
"Используя высоконагруженные системы и ИИ, мы помогаем нашим клиентам на всех этапах развития их бизнеса: продавать услуги и товары онлайн, взаимодействовать с клиентами, собирать и анализировать данные из соцсетей, агрегировать и сопоставлять данные, полученных из разных источников по API. Присоединяйтесь к команде профессионалов! Если вы хотите развиваться в программировании и digital, то эта вакансия точно для вас.","Используя высоконагруженные системы и ИИ, мы помогаем нашим клиентам на всех этапах развития их бизнеса: продавать услуги и товары онлайн, взаимодействовать с клиентами, собирать и анализировать данные из соцсетей, агрегировать и сопоставлять данные, полученных из разных источников по API. Присоединяйтесь к команде профессионалов! Если вы хотите развиваться в программировании и digital, то эта вакансия точно для вас."
"Технологии, с которыми работает DevOps-команда:","Технологии, с которыми работает DevOps-команда:"
"ОБЯЗАТЕЛЬНО: Студент автомобильного вуза или профильного факультета (логистика, маркетинг, менеджмент, автомобильный сервис, управление бизнесом, аналитика).","ОБЯЗАТЕЛЬНО: Студент автомобильного вуза или профильного факультета (логистика, маркетинг, менеджмент, автомобильный сервис, управление бизнесом, аналитика)."
"Если ты готов присоединиться к нашему ордену и уверен в своих силах, отправляй свой отклик с проверочной фразой «Контрольная точка» и тремя причинами, почему именно тебя стоит взять в нашу команду!","Если ты готов присоединиться к нашему ордену и уверен в своих силах, отправляй свой отклик с проверочной фразой «Контрольная точка» и тремя причинами, почему именно тебя стоит взять в нашу команду!"
Оклад 100 000 + % с чистой выручки ;,Оклад 100 000 + % с чистой выручки ;
Ключевые обязанности:,Ключевые обязанности:
Бюдет плюсом:,Бюдет плюсом:
Автоматизация процессов:,Автоматизация процессов:
Отличная возможность заработать перед Новым годом!!!),Отличная возможность заработать перед Новым годом!!!)
Как откликнуться?,Как откликнуться?
Будет большим плюсом:,Будет большим плюсом:
Возможности карьерного роста.,Возможности карьерного роста.
Приглашаем опытного DevOps инженера,Приглашаем опытного DevOps инженера
Кому подойдет вакансия:,Кому подойдет вакансия:
Что предоставляем для продаж:,Что предоставляем для продаж:
"Компания DSSL — ведущий разработчик программного обеспечения, а также производитель и партнер мировых поставщиков систем видеонаблюдения.","Компания DSSL — ведущий разработчик программного обеспечения, а также производитель и партнер мировых поставщиков систем видеонаблюдения."
"Если вакансия откликнулась, жду твое сопроводительное письмо и резюме при отклике.","Если вакансия откликнулась, жду твое сопроводительное письмо и резюме при отклике."
Что мы ждём от кандидата:,Что мы ждём от кандидата:
И сейчас предлагаем,И сейчас предлагаем
Что хотим видеть в твоем опыте:,Что хотим видеть в твоем опыте:
"Мы — Далее и мы занимаемся разработкой и поддержкой сложных digital-решений для крупных клиентов от веб-сайтов до приложений, от Сбербанка до Nestle.<br /><br />Мы — один из крупнейших независимых продакшнов в России, работаем с 2005 года, сейчас в штате более 340 человек. Мы занимаем 1-е место в рейтинге Adindex Digital Index в сегменте web-production, входим в топ-20 Tagline.","Мы — Далее и мы занимаемся разработкой и поддержкой сложных digital-решений для крупных клиентов от веб-сайтов до приложений, от Сбербанка до Nestle.<br /><br />Мы — один из крупнейших независимых продакшнов в России, работаем с 2005 года, сейчас в штате более 340 человек. Мы занимаем 1-е место в рейтинге Adindex Digital Index в сегменте web-production, входим в топ-20 Tagline."
Rapporto,Rapporto
"Нас объединяет не офис, а общие интересы и стремление делать хороший продукт.","Нас объединяет не офис, а общие интересы и стремление делать хороший продукт."
Инструменты для автоматизации процессов,Инструменты для автоматизации процессов
"Добрый день, уважаемые соискатели!","Добрый день, уважаемые соискатели!"
"Ты прекрасно дополнишь нашу команду, если:","Ты прекрасно дополнишь нашу команду, если:"
<em>Specific responsibilities include:</em>,<em>Specific responsibilities include:</em>
Astro7,"Astro7, Миссия Astro7"
Почему мы / наши преимущества:,"Почему мы / наши преимущества:, Наши преимущества:"
STAN-группа,STAN-группа
DOMODEDOVO INTEGRATION (DI) – IT-ИНТЕГРАТОР МОСКОВСКОГО АЭРОПОРТА ДОМОДЕДОВО (DME).,DOMODEDOVO INTEGRATION (DI) – IT-ИНТЕГРАТОР МОСКОВСКОГО АЭРОПОРТА ДОМОДЕДОВО (DME).
- Построение финансовых моделей,- Построение финансовых моделей
- Выводить карточки в ТОП,- Выводить карточки в ТОП
Наш процесс найма:,Наш процесс найма:
Приветствуется:,"Приветствуется:, Очень приветствуется:, ПРИВЕТСТВУЕТСЯ:, Приветствуется также:"
Цели и задачи:,Цели и задачи:
Отсутствие &quot;бумажной&quot; волокиты:,Отсутствие &quot;бумажной&quot; волокиты:
Your Duties/Ваши обязанности:,Your Duties/Ваши обязанности:
"«Пиксель Плюс» — digital-агентство с крупными международными и федеральными брендами. Входит в реестр аккредитованных организаций, осуществляющих деятельность в области ИТ.","«Пиксель Плюс» — digital-агентство с крупными международными и федеральными брендами. Входит в реестр аккредитованных организаций, осуществляющих деятельность в области ИТ."
The Role,The Role
"Мы разработчик, производитель и поставщик серверного оборудования.","Мы разработчик, производитель и поставщик серверного оборудования."
Предполагаемые задачи и результаты:,Предполагаемые задачи и результаты:
Используемый стек технологий:,"Используемый стек технологий:, Стек технологий:"
Flexible Schedule:,Flexible Schedule:
QSOFT,QSOFT
<em>Скорее оставляй отклик! Мы свяжемся с тобой! </em>,<em>Скорее оставляй отклик! Мы свяжемся с тобой! </em>
Необходимо:,Необходимо:
"iSpring – лидер на глобальном рынке ПО для корпоративного обучения. Наши решения используют Google, AT&amp;T, Amazon, Яндекс и ещё 61 000 клиентов по всему миру.","iSpring – лидер на глобальном рынке ПО для корпоративного обучения. Наши решения используют Google, AT&amp;T, Amazon, Яндекс и ещё 61 000 клиентов по всему миру."
Мы предлагаем интересные задачи,"Мы предлагаем интересные задачи, Мы предлагаем интересные задачи:"
Работа удаленная,Работа удаленная
Направление ПИМ,Направление ПИМ
ВАМ ПРИГОДИТСЯ В РАБОТЕ,ВАМ ПРИГОДИТСЯ В РАБОТЕ
Приглашаем вас присоединиться к нашей дружной команде профессионалов!,Приглашаем вас присоединиться к нашей дружной команде профессионалов!
Yesim is a product company,Yesim is a product company
"Работа на удаленной основе, готовы рассмотреть кандидатов из других регионов.","Работа на удаленной основе, готовы рассмотреть кандидатов из других регионов."
Как все устроено:,Как все устроено:
Провести ре-концепцию проекта:,Провести ре-концепцию проекта:
Brands Go Digital - e-commerce агрегатор брендов и дистрибьютор.,Brands Go Digital - e-commerce агрегатор брендов и дистрибьютор.
"&quot;Азиатско-Тихоокеанский Банк&quot; - опорный банк Дальнего Востока, уверенно растущий в TOP-50","&quot;Азиатско-Тихоокеанский Банк&quot; - опорный банк Дальнего Востока, уверенно растущий в TOP-50"
Группа Компаний &quot;РИКОР&quot;,Группа Компаний &quot;РИКОР&quot;
Какой опыт для нас важен:,"Какой опыт для нас важен:, Какой опыт важен"
Какую работу мы предлагаем:,Какую работу мы предлагаем:
Как у нас можно развиваться,Как у нас можно развиваться
Коротко о главном:,Коротко о главном:
"Hard и soft skills, которые пригодятся:","Hard и soft skills, которые пригодятся:"
Colizeum PARQ,Colizeum PARQ
Оплата отпусков 28 дней и праздников;,Оплата отпусков 28 дней и праздников;
Вашими задачами станут:,Вашими задачами станут:
Организовать взаимодействие с управляющей компанией:,Организовать взаимодействие с управляющей компанией:
Какие будут задачи?,"Какие будут задачи?, Какие задачи:, Какие задачи?"
Сейчас в команду ищем коммерческого директора.,Сейчас в команду ищем коммерческого директора.
For which tasks (responsibilities)?,For which tasks (responsibilities)?
Международная компания,Международная компания
Комфортный и мягкий вход в должность,Комфортный и мягкий вход в должность
Основные преимущества компании:,Основные преимущества компании:
What we expect from a candidate:,What we expect from a candidate:
Интереснейшие и амбициозные задачи;,Интереснейшие и амбициозные задачи;
Ключевые навыки:,Ключевые навыки:
Что будет входить в круг Ваших обязанностей:,"Что будет входить в круг Ваших обязанностей:, Что будет входить в круг ваших обязанностей:"
График работы: 5/2 с 09:00 до 18:00 по московскому времени.,График работы: 5/2 с 09:00 до 18:00 по московскому времени.
Primula - ландшафтно-строительная компания.,Primula - ландшафтно-строительная компания.
После успешной защиты итогового проекта мы предлагаем:,После успешной защиты итогового проекта мы предлагаем:
Телефония и коммуникации:,Телефония и коммуникации:
ЧТО ТАКОЕ EL В ЦИФРАХ?,ЧТО ТАКОЕ EL В ЦИФРАХ?
"По макетам от дизайнера необходимо сделать фронт: главная, кабинет, календарь, регистрация. Высоконагруженный интерфейс (видео и аудио)","По макетам от дизайнера необходимо сделать фронт: главная, кабинет, календарь, регистрация. Высоконагруженный интерфейс (видео и аудио)"
"<em>Собираем крутую команду, с которой будем побеждать, и предоставлять людям возможность покупать качественную обувь по низкой цене в любой точке нашей страны.</em>","<em>Собираем крутую команду, с которой будем побеждать, и предоставлять людям возможность покупать качественную обувь по низкой цене в любой точке нашей страны.</em>"
Настройка автоматической фиксации звонков,Настройка автоматической фиксации звонков
"Условия, которые мы предлагаем:","Условия, которые мы предлагаем:"
О программе стажировки:,О программе стажировки:
Работай вместе с друзьями! У нас действует реферальная программа «Приведи друга» - 10 000 руб.,Работай вместе с друзьями! У нас действует реферальная программа «Приведи друга» - 10 000 руб.
<em>Мы владеем собственными фабриками в Китае.</em>,<em>Мы владеем собственными фабриками в Китае.</em>
Про компанию:,"Про компанию:, Про компанию"
​​​Требования:,"​​​Требования:, Требования:, Требования"
Условия обучения:,Условия обучения:
Наши гарантии:,Наши гарантии:
Приглашаем кандидатов принять участие в конкурсе на должность – Руководитель розничной сети магазинов.,Приглашаем кандидатов принять участие в конкурсе на должность – Руководитель розничной сети магазинов.
Кандидатов без резюме НЕ рассматриваем!,Кандидатов без резюме НЕ рассматриваем!
Мы заботимся о тебе:,Мы заботимся о тебе:
Что поможет быть успешным на этой позиции:,Что поможет быть успешным на этой позиции:
Обязателен,Обязателен
О наших достижениях:,О наших достижениях:
X5 Digital,X5 Digital
Основной стек продукта:,Основной стек продукта:
Trademark Factory,Trademark Factory
Группа компаний &quot;Олимп&quot; (предоставляет персонал по договорам аутстаффинга и аутсорсинга во все сферы промышленности РФ и ближнего зарубежья) приглашает в свою команду эрудированных/активных специалистов:,Группа компаний &quot;Олимп&quot; (предоставляет персонал по договорам аутстаффинга и аутсорсинга во все сферы промышленности РФ и ближнего зарубежья) приглашает в свою команду эрудированных/активных специалистов:
По условиям:,"По условиям:, Что предлагаем по условиям:"
Современная телефония с открытым API,Современная телефония с открытым API
НАШИ ПОЖЕЛАНИЯ К СОИСКАТЕЛЮ:,"НАШИ ПОЖЕЛАНИЯ К СОИСКАТЕЛЮ:, НАШИ ПОЖЕЛАНИЯ К СОИСКАТЕЛЮ"
Задачи на данной позиции:,Задачи на данной позиции:
Уникальная возможность стремительного карьерного взлета в digital-маркетинге!,Уникальная возможность стремительного карьерного взлета в digital-маркетинге!
Какой опыт необходим:,Какой опыт необходим:
"Ты идеально подойдешь, если","Ты идеально подойдешь, если, Ты идеально подойдешь, если:"
"Вам подойдет работа у нас, если Вы:","Вам подойдет работа у нас, если Вы:, Вам идеально подойдет работа, если:"
ЧТО ТЫ ПОЛУЧИШЬ?,"ЧТО ТЫ ПОЛУЧИШЬ?, Что ты получишь:, Что ты получишь?"
Почему это интересно?,Почему это интересно?
Приветствую!,Приветствую!
About Us:,About Us:
Компания ООО &quot;СОЮЗ&quot;,"Компания ООО &quot;СОЮЗ&quot;, ООО &quot;Компания Время&quot; -"
"Стажировка не оплачивается,","Стажировка не оплачивается,"
Step Into the Spotlight as a Key Account Manager (VIP Manager) at the Largest Elite Online Casino!,Step Into the Spotlight as a Key Account Manager (VIP Manager) at the Largest Elite Online Casino!
KPIs / Success Metrics:,KPIs / Success Metrics:
Открытие филиала MK Company Trade,Открытие филиала MK Company Trade
Мы - активно развивающаяся юридическая компания &quot;Свой Юрист&quot;.,Мы - активно развивающаяся юридическая компания &quot;Свой Юрист&quot;.
Опыт работы с выгрузками данных,Опыт работы с выгрузками данных
Для сотрудников мы предлагаем:,Для сотрудников мы предлагаем:
We are offering:,We are offering:
General duties and responsibilities:,General duties and responsibilities:
"О, здорово! Это как раз про меня!","О, здорово! Это как раз про меня!"
"Нам нужен именно ты, если у тебя есть:","Нам нужен именно ты, если у тебя есть:"
"Эта вакансия отлично подойдет для вас, если:","Эта вакансия отлично подойдет для вас, если:, ЭТА ВАКАНСИЯ ДЛЯ ВАС, ЕСЛИ ВЫ:, Эта вакансия отлично подойдет для старта в аналитике., Эта вакансия отлично подойдет вам, если:"
Готовы рассмотреть также студентов на летний период:,Готовы рассмотреть также студентов на летний период:
"Будем рады видеть в команде человека, который:","Будем рады видеть в команде человека, который:"
<em>Забота о комфорте:</em>,<em>Забота о комфорте:</em>
<em>Рассматриваем кандидатов </em>,<em>Рассматриваем кандидатов </em>
Data-Driven Lab,Data-Driven Lab
формат и график работы,"формат и график работы, График и формат работы, График работы, График работы:"
Нам доверяют:,Нам доверяют:
"Мы – небольшая команда, созданная ИТ-инженерами. Ищем системного аналитика для работы над аутстафф-проектами.","Мы – небольшая команда, созданная ИТ-инженерами. Ищем системного аналитика для работы над аутстафф-проектами."
Контур ответственности:,Контур ответственности:
"Мы станем отличной командой, если ты:","Мы станем отличной командой, если ты:"
Мы даем:,Мы даем:
Готовы предложить CPO в нашей команде:,Готовы предложить CPO в нашей команде:
Конкурентная компенсация:,Конкурентная компенсация:
Требование к кандидату:,Требование к кандидату:
"Мы находимся в поисках смм менеджера для студии бровей и ресниц, с хорошо развитым вкусом, чувствованием трендов и умением передавать ценности бренда.","Мы находимся в поисках смм менеджера для студии бровей и ресниц, с хорошо развитым вкусом, чувствованием трендов и умением передавать ценности бренда."
Vorota.group,Vorota.group
"<strong>Наша команда по праву гордится своим продуктом, который включает в себя:","<strong>Наша команда по праву гордится своим продуктом, который включает в себя:"
Будет двойным плюсом):,Будет двойным плюсом):
Структура собеседований:,"Структура собеседований:, Структура собеседований"
Страстно увлечен digital-маркетингом и готов полностью погрузиться в эту сферу.,Страстно увлечен digital-маркетингом и готов полностью погрузиться в эту сферу.
Критерии успеха:,Критерии успеха:
Каким будет Самолет для тебя?,Каким будет Самолет для тебя?
Наш клиент -,Наш клиент -
Стажировка в amoCRM: Ваш старт в мире IT!,Стажировка в amoCRM: Ваш старт в мире IT!
Студентов и недавних выпускников:,Студентов и недавних выпускников:
Вакансия открыта в связи с активным ростом компании и расширением штата юридического отдела.,Вакансия открыта в связи с активным ростом компании и расширением штата юридического отдела.
За 27 лет на IT-рынке:,За 27 лет на IT-рынке:
Compensation &amp; Benefits,"Compensation &amp; Benefits, ​Compensation &amp; Benefits"
"На стажировке ты не будешь выполнять рабочие задачи, зато на практических заданиях научишься:","На стажировке ты не будешь выполнять рабочие задачи, зато на практических заданиях научишься:"
<em>Evocargo</em>,<em>Evocargo</em>
Soft skills,Soft skills
"Большим плюсом будет, но не обязательно:","Большим плюсом будет, но не обязательно:"
Что тебе предлагаем:,"Что тебе предлагаем:, Что предлагаем:, Мы предлагаем тебе:, ЧТО ПРЕДЛАГАЕМ"
Какие задачи на проекте:,Какие задачи на проекте:
Направление - оцифровка управленческого учета по маркетплейсам.,Направление - оцифровка управленческого учета по маркетплейсам.
Кофемания - начало твоей истории!,Кофемания - начало твоей истории!
Готовы к новому этапу в карьере и высоким заработкам?,Готовы к новому этапу в карьере и высоким заработкам?
Будем рады рассказать подробнее про компанию на интервью!,Будем рады рассказать подробнее про компанию на интервью!
Оптимизировать и доработать физическое пространство:,Оптимизировать и доработать физическое пространство:
Какие умения пригодятся:,"Какие умения пригодятся:, Какие знания и умения пригодятся:"
Удаленную занятость,Удаленную занятость
"Мы ищем вас, если вы:","Мы ищем вас, если вы:"
Payment in USD,Payment in USD
Национальный расчетный депозитарий,Национальный расчетный депозитарий
<em>Задачи на время тестового периода (3 месяца):</em>,<em>Задачи на время тестового периода (3 месяца):</em>
Наши продукты,"Наши продукты, Продукты:"
ЧТО ОТ НАС:,"ЧТО ОТ НАС:, От нас:"
Привет!<br /><br />Мы международный IT стартап - Clear Mind.,Привет!<br /><br />Мы международный IT стартап - Clear Mind.
Циан,Циан
Наш будущий коллега:,"Наш будущий коллега:, Приветствую, наш будущий коллега!"
Условия у нас ─ это:,Условия у нас ─ это:
Бюджет на обучение и сертификацию,Бюджет на обучение и сертификацию
"Будет отлично, если есть опыт работы с:","Будет отлично, если есть опыт работы с:"
Что это даст Вам:,Что это даст Вам:
Привет! Мы Компания MEMS Technology. С 2014 года занимаемся продажей запчастей и аксессуаров Apple и Android.,Привет! Мы Компания MEMS Technology. С 2014 года занимаемся продажей запчастей и аксессуаров Apple и Android.
"Нам нужны именно Вы, если Вы:","Нам нужны именно Вы, если Вы:"
ГК Юзтех,ГК Юзтех
ИЩЕМ МЕНЕДЖЕРА ПО ЗАКУПКАМ НАТУРАЛЬНОГО МОЛОКА,ИЩЕМ МЕНЕДЖЕРА ПО ЗАКУПКАМ НАТУРАЛЬНОГО МОЛОКА
"Команда, на которую можно положиться:","Команда, на которую можно положиться:"
За непродолжительное время развития бренда,За непродолжительное время развития бренда
Ждем твоего отклика!,Ждем твоего отклика!
Why You’ll Love This Role:,Why You’ll Love This Role:
Корпоративный магазин:,Корпоративный магазин:
Что получит кандидат:,Что получит кандидат:
Твои задачи будут:,"Твои задачи будут:, Твои задачи:"
Что для нас важно:,"Что для нас важно:, ВАЖНО!"
Команда,"Команда, Команда:"
"<em>Приглашаем в команду профессионалов бизнес-аналитика для принятия участия в реализации амбициозного проекта по написанию новой АБС для крупнейшего российского банка (импортозамещение ЦФТ и создание &quot;с нуля&quot; ключевой Платформы, которая позволит осуществлять и поддерживать основную функцию - бизнес Банка.)</em>","<em>Приглашаем в команду профессионалов бизнес-аналитика для принятия участия в реализации амбициозного проекта по написанию новой АБС для крупнейшего российского банка (импортозамещение ЦФТ и создание &quot;с нуля&quot; ключевой Платформы, которая позволит осуществлять и поддерживать основную функцию - бизнес Банка.)</em>"
Главное требование (обязательно):,Главное требование (обязательно):
"Опыт работы с брокерами сообщений Kafka, RabbitMQ;","Опыт работы с брокерами сообщений Kafka, RabbitMQ;"
Спортс&quot;,Спортс&quot;
Основная задача,Основная задача
"Про офис, плюшки и атмосферу","Про офис, плюшки и атмосферу"
HADAT COSMETICS,HADAT COSMETICS
<em>Что для этого необходимо:</em>,"<em>Что для этого необходимо:</em>, Что для этого необходимо:"
Пожелания к опыту и знаниям:,"Пожелания к опыту и знаниям:, Пожелания к опыту:"
БФТ-Холдинг,БФТ-Холдинг
"<em>Qualifications, Skills &amp; Experience:</em>","<em>Qualifications, Skills &amp; Experience:</em>"
НАШИ ПОЖЕЛАНИЯ К СПЕЦИАЛИСТУ:,НАШИ ПОЖЕЛАНИЯ К СПЕЦИАЛИСТУ:
Работа в Innostage - это:,Работа в Innostage - это:
"Знания языков программирования: Bash, Python, Go, PHP;","Знания языков программирования: Bash, Python, Go, PHP;"
Какие задачи вас ждут:,"Какие задачи вас ждут:, Какие задачи вас ждут"
Заботимся о здоровье:,Заботимся о здоровье:
Управление бюджетом,Управление бюджетом
Bookmaker Ratings,Bookmaker Ratings
Обязательно!:,"Обязательно!:, Обязательно:"
Удаленный график,Удаленный график
Мы предлагаем следующие условия:,Мы предлагаем следующие условия:
"LITOKOL ожидает, что у Вас:","LITOKOL ожидает, что у Вас:"
What makes this opportunity exciting:,What makes this opportunity exciting:
Вакансия открыта в г. Москва (удаленный формат),Вакансия открыта в г. Москва (удаленный формат)
Создание роботов и автоматизация рутинных задач,Создание роботов и автоматизация рутинных задач
Специалист по телефонии для настройки интеграций,Специалист по телефонии для настройки интеграций
"В связи с расширением, ищем в свою команду -Бизнес-аналитика","В связи с расширением, ищем в свою команду -Бизнес-аналитика"
Мы любим развиваться:,Мы любим развиваться:
Что общего во всех проектах,Что общего во всех проектах
Работа у нас - это:,"Работа у нас - это:, Работа у нас:"
Что ждёт тебя в Точке,Что ждёт тебя в Точке
атмосфера и корпоративы,атмосфера и корпоративы
Нужен специалист с опытом работы в области арбитражного права!,Нужен специалист с опытом работы в области арбитражного права!
Ждём ваше резюме!,Ждём ваше резюме!
ЧТО У НАС УЖЕ ЕСТЬ,"ЧТО У НАС УЖЕ ЕСТЬ, Что у нас есть:, Что у нас есть?"
Про нас,Про нас
<em>Преимуществом будет:</em>,<em>Преимуществом будет:</em>
CORE.XP,CORE.XP
Критерии отбора:,Критерии отбора:
Оплата переработок и срочных внедрений,Оплата переработок и срочных внедрений
Пару слов о нас:,Пару слов о нас:
Наш идеальный аналитик:,Наш идеальный аналитик:
Uzum — первая высокотехнологичная экосистема для миллионов жителей Узбекистана.,Uzum — первая высокотехнологичная экосистема для миллионов жителей Узбекистана.
Наша цель - стать крупнейшим В2В маркетплейсом для строительного рынка России!,Наша цель - стать крупнейшим В2В маркетплейсом для строительного рынка России!
"Мы сработаемся, если ты:","Мы сработаемся, если ты:, Мы точно сработаемся если:"
Почему это для вас?,Почему это для вас?
«Smarent» - динамично развивающаяся компания в области комплексного управления недвижимостью. &quot;Смарент Технологии&quot; осуществляет деятельность по разработке IT сервисов в сфере недвижимости. Участник «Сколково» с 2024 года.,«Smarent» - динамично развивающаяся компания в области комплексного управления недвижимостью. &quot;Смарент Технологии&quot; осуществляет деятельность по разработке IT сервисов в сфере недвижимости. Участник «Сколково» с 2024 года.
Профессиональные компетенции:,Профессиональные компетенции:
"У нас твои идеи не потеряются: предлагай и обсуждай, ищи новые решения и экспериментируй. Мы всегда поддержим тебя, а ещё предложим:","У нас твои идеи не потеряются: предлагай и обсуждай, ищи новые решения и экспериментируй. Мы всегда поддержим тебя, а ещё предложим:"
"Стек технологий, с которым мы работаем:","Стек технологий, с которым мы работаем:"
Как мы работаем:,"Как мы работаем:, Как мы работаем"
ОТКЛИКАЙСЯ СЕЙЧАС!!!,"ОТКЛИКАЙСЯ СЕЙЧАС!!!, Откликайся прямо сейчас!"
Middle тестировщик BI отчетности,Middle тестировщик BI отчетности
"Привет! Мы ищем опытного CRM-интегратора, который поможет нам построить эффективную систему аналитики и автоматизации. Если вы любите работать с данными и превращать хаос в структурированные бизнес-процессы – давайте знакомиться!","Привет! Мы ищем опытного CRM-интегратора, который поможет нам построить эффективную систему аналитики и автоматизации. Если вы любите работать с данными и превращать хаос в структурированные бизнес-процессы – давайте знакомиться!"
Что мы хотим от кандидата:,Что мы хотим от кандидата:
"Идеально, если у тебя есть:","Идеально, если у тебя есть:, Идеально, если у Вас есть:"
Что вам понадобится для успеха:,Что вам понадобится для успеха:
Жизненный цикл задачи:,Жизненный цикл задачи:
Помогаем сохранять контекст и знакомиться с коллегами из других отделов,Помогаем сохранять контекст и знакомиться с коллегами из других отделов
Опыт работы в медицинской сфере,Опыт работы в медицинской сфере
"Окей, Елена, кто ты такая и что тут вообще происходит?","Окей, Елена, кто ты такая и что тут вообще происходит?"
Mediascope,Mediascope
Проектный формат:,Проектный формат:
Just So You Know,Just So You Know
Что нужно:,"Что нужно:, ЧТО НУЖНО ДЕЛАТЬ?"
"Привет!<br />Мы - команда опытных специалистов, которые занимаются продвижением и созданием продуктов в IT сфере.","Привет!<br />Мы - команда опытных специалистов, которые занимаются продвижением и созданием продуктов в IT сфере."
"Наши проекты развиваются и становятся крупнее, а это значит, нам нужны новые люди.","Наши проекты развиваются и становятся крупнее, а это значит, нам нужны новые люди."
ДМС,ДМС
Взамен мы предлагаем:,"Взамен мы предлагаем:, Что предлагаем взамен:"
Knowledge / Experience,Knowledge / Experience
Каким мы видим нашего нового коллегу:,Каким мы видим нашего нового коллегу:
